1	71	5
1	93	19
1	14	7
1	23	11
1	67	4
2	4	7
2	92	18
2	37	18
2	79	12
2	22	1
2	52	8
2	55	17
2	81	10
3	96	12
3	8	4
3	35	5
3	15	10
4	85	10
4	87	20
5	74	15
5	35	1
5	40	3
6	52	2
6	24	20
6	67	18
6	40	7
6	15	18
6	19	2
6	58	12
7	5	7
7	89	13
7	17	13
7	43	14
8	2	14
8	55	16
8	39	11
8	66	11
9	24	18
9	87	17
9	59	14
9	20	14
9	17	14
9	70	1
9	80	15
9	100	19
9	10	12
10	76	2
10	66	9
10	31	13
10	92	13
10	61	6
10	45	9
10	42	10
10	96	12
10	1	1
11	81	15
11	83	17
12	94	1
12	41	17
12	34	19
12	17	9
12	69	13
12	42	8
12	62	19
12	10	11
12	98	5
12	30	16
13	34	19
13	2	15
14	66	10
14	55	3
14	3	3
14	15	1
14	94	18
14	88	9
15	22	14
15	88	8
15	74	13
15	58	10
15	97	11
15	7	19
15	71	1
15	36	12
15	47	8
16	84	12
16	62	8
16	99	8
16	75	6
16	81	14
16	79	19
16	80	14
16	46	19
16	42	2
16	39	14
17	77	8
17	57	6
17	72	5
18	71	7
18	100	11
18	86	10
18	16	3
18	14	13
18	27	7
18	63	20
18	6	18
19	47	5
19	42	13
19	96	2
19	45	15
19	44	15
20	71	7
20	99	1
21	89	19
22	82	16
23	96	17
23	90	10
23	38	9
24	52	4
24	85	18
25	15	9
25	22	15
25	71	18
26	68	11
26	20	11
26	99	14
26	25	8
26	84	10
26	10	8
26	50	15
27	85	17
27	71	13
27	76	8
28	99	18
28	53	17
29	17	8
29	29	16
29	40	15
29	60	4
29	3	11
29	70	15
29	92	11
29	49	15
29	90	16
29	46	15
30	39	3
30	63	2
30	28	9
31	70	15
31	72	2
31	40	11
31	22	20
31	77	16
31	65	6
32	58	16
33	70	11
33	95	5
33	87	17
33	83	12
33	4	3
34	95	8
34	98	12
34	5	4
34	53	6
34	46	13
34	94	3
34	71	6
35	98	15
35	9	14
35	21	17
35	95	13
35	48	2
35	25	5
35	87	5
35	6	16
36	80	14
36	14	8
36	49	1
36	26	1
36	38	3
36	75	11
36	85	7
36	11	11
36	23	19
36	33	11
37	76	6
38	37	10
38	24	18
38	65	3
38	18	4
38	47	8
38	27	10
38	8	15
38	1	9
38	71	6
39	86	2
39	66	3
39	6	14
39	7	8
40	19	13
40	16	8
40	71	17
40	29	10
41	27	15
41	28	3
41	41	2
41	50	18
41	66	9
41	1	7
41	100	12
41	34	12
41	8	4
42	49	14
42	58	8
42	5	16
42	33	11
42	37	19
42	61	19
42	96	11
42	26	5
43	75	18
43	18	15
43	48	3
43	98	17
44	94	20
44	71	7
44	85	15
44	40	15
44	86	11
45	100	1
45	54	5
45	8	17
45	37	1
45	14	13
45	4	14
45	70	11
45	69	2
45	94	6
46	21	17
47	84	6
47	12	2
47	57	20
47	15	11
47	27	1
47	47	17
48	59	7
48	44	2
48	7	7
48	55	14
48	81	5
48	24	8
48	29	16
48	77	17
48	65	2
48	54	5
49	15	16
49	39	16
49	93	14
49	89	4
49	19	6
50	19	18
51	83	7
51	10	8
52	12	19
52	63	11
52	58	13
52	98	5
52	73	11
52	90	1
53	6	7
53	16	17
53	60	17
53	40	7
53	88	17
53	23	10
53	13	13
53	30	2
53	94	7
54	78	17
54	54	5
54	99	9
54	64	10
54	43	7
55	18	16
55	79	13
55	51	17
55	84	8
56	30	10
56	32	13
57	82	18
58	21	5
58	90	8
58	40	18
58	72	4
58	3	7
58	50	17
58	82	8
59	78	3
59	43	20
59	76	9
59	3	17
59	100	11
59	93	15
60	58	2
60	3	17
60	66	8
61	4	14
61	27	6
62	7	10
62	33	14
62	24	20
62	26	16
62	71	17
62	2	5
62	20	20
62	93	7
63	89	19
63	47	9
63	18	18
63	67	2
63	51	3
64	32	3
64	35	12
65	86	10
65	67	9
65	14	9
65	81	4
65	80	14
65	15	13
65	32	14
66	88	7
66	70	1
67	47	4
67	20	12
67	71	18
67	68	10
67	35	20
68	69	20
68	53	20
69	30	14
69	54	15
70	8	2
70	1	5
70	15	11
70	40	14
70	45	14
70	41	7
70	74	18
70	89	13
71	69	2
71	63	16
71	90	7
71	64	13
72	44	13
72	59	13
72	74	11
72	36	11
73	88	3
73	33	17
73	35	3
73	72	17
73	65	3
73	75	4
73	47	5
73	24	14
74	94	9
74	66	1
74	84	3
74	60	5
74	10	9
74	25	14
74	82	14
75	48	19
75	96	14
75	71	20
75	12	4
75	79	11
75	6	17
75	29	5
75	100	6
75	38	11
76	5	8
76	65	10
76	56	13
76	100	7
76	95	6
77	81	19
77	94	3
77	87	15
77	5	1
77	3	7
78	87	6
78	40	20
78	11	13
78	4	1
78	79	4
78	44	8
78	83	19
79	61	3
79	47	19
79	54	19
79	20	18
79	48	12
80	91	17
80	37	20
80	24	15
80	50	19
80	35	16
80	25	3
81	79	13
81	82	12
81	36	10
81	57	3
81	3	18
81	26	12
82	24	13
83	25	2
83	80	8
83	75	20
83	100	13
83	81	6
83	83	4
83	21	16
84	11	5
84	21	11
85	11	2
85	59	4
85	37	19
85	61	1
85	95	18
85	69	1
85	76	12
85	35	13
86	39	4
86	29	6
86	58	6
87	39	15
87	24	3
87	79	2
88	6	8
88	98	1
88	36	3
88	34	14
88	20	10
88	2	4
88	56	15
88	58	2
88	100	6
88	21	4
89	28	1
89	50	12
89	58	6
90	19	9
90	7	2
90	70	5
90	92	13
90	51	20
90	27	4
90	62	12
90	31	10
90	47	17
91	71	15
91	65	19
91	64	5
91	39	16
91	60	13
92	85	17
92	63	10
93	39	18
93	50	13
93	87	17
93	23	11
93	60	4
93	36	9
93	3	9
93	83	11
94	7	1
94	60	18
94	80	6
95	4	1
95	35	4
96	16	3
96	83	19
96	47	3
96	82	14
96	53	18
96	85	6
96	79	7
97	43	19
97	72	2
97	75	16
97	51	20
97	69	11
97	63	5
98	59	3
98	26	15
98	48	14
98	79	15
98	95	13
99	82	4
99	94	3
99	7	16
99	25	5
99	46	8
100	50	16
